"
Abridged List Ordered by Nutrient Content in Household Measure
Source: USDA National Nutrient Database for Standard Reference Legacy (2018)
Nutrients: 20:5 n-3 (EPA)(g)
",,
Description,Measure,20:5 n-3 (EPA)(g)Per Measure
"Fish, herring, Atlantic, pickled",1.0 cups,1.18
"Fish, herring, Pacific, raw",3.0 oz,0.824
"Fish, salmon, pink, canned, without salt, solids with bone and liquid",3.0 oz,0.718
"Fish, salmon, coho, wild, cooked, moist heat",3.0 oz,0.462
"Fish, bluefish, raw",1.0 fillet,0.378
"Fish, bluefish, cooked, dry heat",1.0 fillet,0.378
"Fish, roe, mixed species, cooked, dry heat",1.0 oz,0.357
"Mollusks, oyster, eastern, wild, cooked, moist heat",3.0 oz,0.3
"Crustaceans, spiny lobster, mixed species, cooked, moist heat",3.0 oz,0.29
"Fish, salmon, pink, canned, drained solids",3.0 oz,0.284
"Crustaceans, crab, queen, cooked, moist heat",3.0 oz,0.282
"Mollusks, mussel, blue, raw",1.0 cups,0.282
"Fish, mackerel, spanish, raw",3.0 oz,0.28
"Fish, wolffish, Atlantic, raw",3.0 oz,0.261
"Fish, salmon, chum, cooked, dry heat",3.0 oz,0.254
"Mollusks, oyster, eastern, wild, cooked, dry heat",3.0 oz,0.233
"Mollusks, oyster, Pacific, raw",1.0 medium,0.219
"Fish, flatfish (flounder and sole species), cooked, dry heat",1.0 fillet,0.213
"Fish, herring, Atlantic, raw","1.0 oz, boneless",0.201
"Fish, trout, rainbow, farmed, cooked, dry heat",1.0 fillet,0.184
"Fish, cisco, smoked",1.0 oz,0.181
"Fish, seatrout, mixed species, cooked, dry heat",3.0 oz,0.179
"Mollusks, oyster, eastern, cooked, breaded and fried",3.0 oz,0.172
"Fish, trout, mixed species, cooked, dry heat",1.0 fillet,0.161
"Mollusks, oyster, eastern, farmed, raw",3.0 oz,0.16
"Fish, mackerel, jack, canned, drained solids","1.0 oz, boneless",0.123
"Fish, lingcod, cooked, dry heat",3.0 oz,0.113
"Fish, swordfish, cooked, dry heat",3.0 oz,0.108
"Fish, pollock, Alaska, cooked",3.0 oz,0.088
"Fish, burbot, cooked, dry heat",1.0 fillet,0.081
"Fish, tuna, skipjack, fresh, cooked, dry heat",3.0 oz,0.077
"Fish, cisco, raw",1.0 fillet,0.075
"Mollusks, octopus, common, raw",3.0 oz,0.065
"Fish, tuna, white, canned in oil, drained solids",3.0 oz,0.056
"Fish, cod, Pacific, raw (may have been previously frozen)",1.0 fillet,0.039
"Fish, flatfish (flounder and sole species), raw","1.0 oz, boneless",0.039
"Fish, ocean perch, Atlantic, cooked, dry heat",1.0 fillet,0.037
"Fish, haddock, raw",3.0 oz,0.036
"Fish, pike, northern, cooked, dry heat",3.0 oz,0.036
"Fish, grouper, mixed species, cooked, dry heat",3.0 oz,0.03
"Veal, Australian, shank, hind, bone-in, separable lean only, raw",4.0 oz,0.028
"Chicken, broilers or fryers, dark meat, meat only, cooked, fried",1.0 cups,0.028
"Lamb, Australian, imported, fresh, rib chop/rack roast, frenched, bone-in, separable lean only, trimmed to 1/8"" fat, raw",4.0 oz,0.025
"Fish, grouper, mixed species, raw",3.0 oz,0.023
"Chicken, broilers or fryers, back, meat only, raw",4.0 oz,0.023
"Fish, mahimahi, cooked, dry heat",3.0 oz,0.022
"Beef, Australian, imported, grass-fed, loin, tenderloin steak/roast, boneless, separable lean and fat, raw",4.0 oz,0.021
"Lamb, Australian, imported, fresh, rib chop, frenched, bone-in, separable lean and fat, trimmed to 1/8"" fat, cooked, grilled",3.0 oz,0.02
"Fish, ocean perch, Atlantic, raw","1.0 oz, boneless",0.018
"POPEYES, Mild Chicken Strips, analyzed 2006",1.0 strip,0.014
