"
Abridged List Ordered by Nutrient Content in Household Measure
Source: USDA National Nutrient Database for Standard Reference Legacy (2018)
Nutrients: Lutein + zeaxanthin(µg)
",,
Description,Measure,Lutein + zeaxanthin(µg)Per Measure
"Spinach, canned, regular pack, solids and liquids",1.0 cups,20409
"Turnip greens, frozen, cooked, boiled, drained, without salt",1.0 cups,19541
"Turnip greens and turnips, frozen, cooked, boiled, drained, with salt",1.0 cups,15537
"Turnip greens, cooked, boiled, drained, without salt","1.0 cups, chopped",12154
"Turnip greens, frozen, cooked, boiled, drained, with salt",0.5 cups,9770
"Cress, garden, raw",1.0 cups,6250
"Peas and carrots, frozen, cooked, boiled, drained, without salt",1.0 package (10 oz) yields,4276
"Spinach, raw",1.0 cups,3659
"Peas, green, raw",1.0 cups,3592
"Kale, frozen, unprepared",1.0 cups,3591
"Noodles, egg, spinach, enriched, cooked",1.0 cups,3571
"Pokeberry shoots, (poke), cooked, boiled, drained, without salt",1.0 cups,2883
"Corn, sweet, yellow, canned, vacuum pack, regular pack",1.0 cups,2194
"Squash, summer, zucchini, includes skin, cooked, boiled, drained, without salt","1.0 cups, sliced",2070
"Broccoli, frozen, chopped, cooked, boiled, drained, without salt",1.0 cups,2015
"Broccoli, frozen, chopped, unprepared",1.0 cups,1747
"Corn, sweet, yellow, canned, brine pack, regular pack, solids and liquids",1.0 cups,1664
"Asparagus, canned, drained solids",1.0 cups,1525
"Jute, potherb, cooked, boiled, drained, without salt",1.0 cups,1520
"Persimmons, japanese, raw","1.0 fruit (2-1/2"" dia)",1401
"Brussels sprouts, raw",1.0 cups,1399
"Kale, raw",1.0 cups,1315
"Leeks, (bulb and lower leaf-portion), cooked, boiled, drained, without salt",1.0 leek,1147
"Corn, sweet, yellow, frozen, kernels cut off cob, boiled, drained, without salt",1.0 cups,1129
"Asparagus, frozen, cooked, boiled, drained, without salt",1.0 cups,1112
"Corn, sweet, yellow, frozen, kernels cut off cob, unprepared (Includes foods for USDA's Food Distribution Program)",1.0 cups,914
"Orange juice, frozen concentrate, unsweetened, undiluted",1.0 cups,872
"Desserts, mousse, chocolate, prepared-from-recipe",1.0 recipe yield,760
"Squash, summer, crookneck and straightneck, frozen, cooked, boiled, drained, without salt",1.0 cups slices,745
"Peas, edible-podded, raw","1.0 cups, chopped",725
"Vegetable juice cocktail, canned",1.0 cups,703
"Asparagus, cooked, boiled, drained",0.5 cups,694
"Beans, snap, green, frozen, cooked, boiled, drained without salt",1.0 cups,686
"Fast foods, croissant, with egg, cheese, and sausage",1.0 sandwich,575
"Beet greens, raw",1.0 cups,571
"Celery, cooked, boiled, drained, without salt","1.0 cups, diced",494
"Cereals, corn grits, yellow, regular and quick, enriched, cooked with water, without salt",1.0 cups,459
"Okra, frozen, unprepared",0.33 package (10 oz),458
"Broccoli raab, raw",1.0 cups chopped,448
"Okra, frozen, cooked, boiled, drained, without salt",0.5 cups slices,386
"Carrots, raw",1.0 cups chopped,328
"Tomatoes, red, ripe, canned, stewed",1.0 cups,321
"Soup, beef and vegetables, canned, ready-to-serve",1.0 cups,298
"Cereals ready-to-eat, QUAKER, QUAKER CRUNCHY BRAN",0.75 cups (1 NLEA serving),286
"Bread, cornbread, dry mix, prepared with 2% milk, 80% margarine, and eggs",1.0 muffin,280
"Egg, yolk, raw, frozen, sugared, pasteurized",1.0 oz,274
"Tangerines, (mandarin oranges), raw","1.0 cups, sections",269
"Egg, whole, raw, fresh",1.0 large,252
"Egg, whole, cooked, poached",1.0 large,250
"Egg, whole, cooked, fried",1.0 large,250
"Snacks, corn-based, extruded, onion-flavor",1.0 oz,249
Barley flour or meal,1.0 cups,237
"Fast foods, croissant, with egg, cheese, and ham",1.0 item,223
