NDB_No,DataSrc ID,Food No,FoodIndiv_Desc,Method,Cmpd_Name,Rptd CmpdVal,Rptd_Std Dev,Num_Data_Pts,LT,Rptd_Units,Fresh Dry_Wt,Quant_Std,Conv_Factor_G,Conv_Factor_M,Conv_Factor_SpGr,Cmpd_Val,Cmpt_StdDev
1103,R016,26,"Chocolate milk, semiskimmed, Nutricia",HPLC-UV,(+)-Catechin,16.1,,1,,mg/L,FW,(+)-Catechin,1,,1.05,1.53,
1103,R016,26,"Chocolate milk, semiskimmed, Nutricia",HPLC-UV,(-)-Epicatechin,5,,1,,mg/L,FW,(-)-Epicatechin,1,,1.05,0.47,
1103,R016,26,"Chocolate milk, semiskimmed, Nutricia",HPLC-UV,(+)-Gallocatechin,0,,1,,mg/L,FW,(+)-Gallocatechin,1,,1.05,0,
1103,R016,26,"Chocolate milk, semiskimmed, Nutricia",HPLC-UV,(-)-Epicatechin 3-gallate,0,,1,,mg/L,FW,(-)-Epicatechin 3-gallate,1,,1.05,0,
1103,R016,26,"Chocolate milk, semiskimmed, Nutricia",HPLC-UV,(-)-Epigallocatechin,0,,1,,mg/L,FW,(-)-Epigallocatechin,1,,1.05,0,
1103,R016,26,"Chocolate milk, semiskimmed, Nutricia",HPLC-UV,(-)-Epigallocatechin 3-gallate,0,,1,,mg/L,FW,(-)-Epigallocatechin 3-gallate,1,,1.05,0,
1103,R016,27,"Chocolate milk, semiskimmed, Albert Heijn",HPLC-UV,(+)-Catechin,1.2,,1,,mg/L,FW,(+)-Catechin,1,,1.05,0.11,
1103,R016,27,"Chocolate milk, semiskimmed, Albert Heijn",HPLC-UV,(-)-Epicatechin,0.6,,1,,mg/L,FW,(-)-Epicatechin,1,,1.05,0.06,
1103,R016,27,"Chocolate milk, semiskimmed, Albert Heijn",HPLC-UV,(+)-Gallocatechin,0,,1,,mg/L,FW,(+)-Gallocatechin,1,,1.05,0,
1103,R016,27,"Chocolate milk, semiskimmed, Albert Heijn",HPLC-UV,(-)-Epicatechin 3-gallate,0,,1,,mg/L,FW,(-)-Epicatechin 3-gallate,1,,1.05,0,
1103,R016,27,"Chocolate milk, semiskimmed, Albert Heijn",HPLC-UV,(-)-Epigallocatechin,0,,1,,mg/L,FW,(-)-Epigallocatechin,1,,1.05,0,
1103,R016,27,"Chocolate milk, semiskimmed, Albert Heijn",HPLC-UV,(-)-Epigallocatechin 3-gallate,0,,1,,mg/L,FW,(-)-Epigallocatechin 3-gallate,1,,1.05,0,
